user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes,vi,in,en,ja,und,zh,ko,es,pt,tr,ht,de,fr,fa,ar,th,nl,it,bn,hi
DragonBallTee,in,#btc,1575636434,0.85,0.25,0.77,0.08,0.85,0.85,0.83,0.37,0.985302429592902,0.23809402267379812,0.09447103141119989,0.09067751501786936,0.0013596080692119025,0.00014998189243006028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kienZtoOotZ,en,#btc,1430572243512221704,0.93,0.01,0.93,0.3,0.63,0.93,0.26,0.53,0.8065027803273311,3.4119102047138985e-05,2.553029616420065e-05,0.0012166375180594632,2.066273661416265e-06,8.535554853743267e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OdinWolfdog,en,#btc,1448681694916141062,0.71,0.04,0.69,0.38,0.71,0.71,0.06,0.52,0.6539653176638311,8.650013798831537e-05,2.553029616420065e-05,7.603984487871645e-05,2.066273661416265e-06,0.00019753712661520133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lordkaido5,en,#btc,1352342730341552130,0.72,0.11,0.72,0.12,0.58,0.72,0.05,0.32,0.674812568404253,0.00011745256831719232,0.00024126129875169617,0.0031936734849060907,4.13254732283253e-06,8.901364347475122e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tta_turker,tr,#btc,1378278753567178752,0.94,0.11,0.94,0.13,0.78,0.94,0.45,0.44,0.9754145258303921,1.0785731491524046e-05,2.2977266547780586e-05,0.002053075811725344,2.066273661416265e-06,4.877459916424724e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
xD6QWy5pqSCSkZm,en,#btc,1431578693680259074,0.78,0.28,0.47,0.37,0.78,0.78,0.14,0.05,0.9814826730253052,0.007855560150536432,0.014798636171578908,0.0028514941829518668,0.0001239764196849759,0.014095859158467453,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raniacityx,en,#btc,1455113023345942532,0.75,0.38,0.71,0.32,0.75,0.75,0.01,0.21,0.9840426874079401,0.017379384867113955,0.007268475317947926,0.08208501254657441,9.091604110231568e-05,0.0011937583145449513,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacobMassengil,en,#btc,1382511103528239105,0.76,0.4,0.66,0.44,0.76,0.76,0.12,0.13,0.985314730530612,0.026188922729948164,0.03323278651693999,0.067713481864497,0.0006942679502358652,0.017356441112597383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SevdeYurdakulll,tr,#btc,1363173285387767816,0.85,0.17,0.57,0.16,0.85,0.85,0.08,0.34,0.984401622462143,0.006903177678878679,0.0009433444432672141,0.0074519047981142115,2.8927831259827715e-05,0.0009267173841206977,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hakan_sah_gdh,tr,#btc,1249432192914059264,0.72,0.08,0.59,0.14,0.72,0.72,0.05,0.31,0.9797342051228675,0.0003317386244401866,0.0005361362194482137,0.015131929130864573,1.2397641968497592e-05,0.00041702282285431395,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rodrigocorreiv,pt,#btc,1345071033376776197,0.92,0.0,0.82,0.25145833333333334,0.91,0.92,0.92,0.6686226585366135,0.0,4.5952454257486556e-06,6.382574041050163e-06,0.00041821914683294045,0.00010951250405506206,7.316189874637086e-06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CointraderM,pt,#btc,1025174050228854785,0.86,0.04,0.45,0.04,0.85,0.86,0.86,0.2,0.9828436613898798,0.0009984063546006133,0.005010320622224378,0.005512888753706943,0.006140965321729141,0.0002072920464480508,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
jesus_manzax,en,#btc,375204336,0.74,0.21,0.39,0.16,0.74,0.74,0.04,0.14,0.9258436393112737,0.001046025478183501,0.018496699570963372,0.0020910957341647024,0.0008120455489365922,0.002672848034200749,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threader,en,#btc,900271822465380352,0.79,0.37,0.24,0.06,0.79,0.79,0.51,0.04,0.9853760775148321,0.040474659804814454,0.43208622091620574,0.045737966694547945,0.178916570068373,0.0042714355218089525,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeelsaround,en,#btc,1454786543537774592,0.85,0.01,0.85,0.19,0.61,0.85,0.12,0.55,0.9698672760361963,0.00015078595482521367,4.978407752019127e-05,0.006387346969812181,1.0331368307081327e-05,1.097428481195563e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mustafaduman_md,en,#btc,958962623134994432,0.71,0.15,0.33,0.14,0.71,0.71,0.06,0.1,0.9852223157934578,0.01190318565508188,0.006022596865134934,0.014675690061592275,0.00037192925905492775,0.015970023131353654,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_Deneb,ja,#btc,316967507,0.74,0.14,0.27,0.18,0.74,0.74,0.13,0.15,0.9854047797028219,0.04285561598395883,0.03402933175726305,0.013421032621093452,0.0010393356516923814,0.03357277596973048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kripto_Q,en,#btc,1261988582727745543,0.71,0.15,0.37,0.21,0.71,0.71,0.02,0.05,0.9846143656027933,0.0014031689050551582,0.008813058235882066,0.003992091856132613,8.471722011806688e-05,0.007684438098327153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptoinvestern,und,#btc,1437302648869380098,0.75,0.1,0.45,0.09,0.75,0.75,0.07,0.19,0.9772801680497336,0.0018793601408840345,0.0025913250606663663,0.009048741540567257,2.8927831259827715e-05,0.001798563344181617,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sumitkvsc,en,#btc,1424040348,0.72,0.21,0.51,0.13,0.72,0.72,0.02,0.15,0.9798961674693817,0.0030936477922476687,0.003183627931675821,0.004866550072237853,5.1656841535406635e-05,0.002565543916039405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
