user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes
gu_wdx,ja,#btc,1433345746175074310,0.84,0.16,0.47,0.3,0.84,0.84,0.12,0.15,Mon Dec 13 03:26:16 +0000 2021,45,677,12,5,681
Best88Fx,ko,#btc,1379311984898809857,0.97,0.02,0.28,0.04,0.86,0.97,0.97,0.82,Mon Dec 13 07:43:19 +0000 2021,42,663,0,0,0
JimmyColas10,fr,#btc,1311403685256278017,0.79,0.04,0.79,0.44,0.72,0.79,0.06,0.34,Sun Dec 12 14:41:17 +0000 2021,0.59,20,118,1,179
ixodius,es,#btc,1300974436305309697,0.9,0.12,0.4,0.04,0.9,0.9,0.78,0.17,Mon Dec 13 00:25:36 +0000 2021,3700,17526,86,2669,154
redhotchilicoin,tr,#btc,1352687578030469122,0.85,0.1,0.45,0.03,0.85,0.85,0.22,0.25,Sun Dec 12 20:15:50 +0000 2021,250,490,107,111,636
veriyoksa,tr,#btc,1309493965562040321,0.82,0.11,0.82,0.2,0.69,0.82,0.04,0.29,Sun Dec 12 21:09:08 +0000 2021,9.3,64,223,2,78
yermawsdadsdug,en,#btc,1296532130110087169,0.765,0.04,0.765,0.22,0.69,0.765,0.63,0.55,Thu Dec 09 01:09:11 +0000 2021,0.25,16,6,4,27
PantonialJimbo,en,#btc,1455407266522230784,0.93,0.09,0.93,0.67,0.83,0.93,0.58,0.44,Wed Nov 24 07:05:11 +0000 2021,1.6,8,47,0,1
TeknikBilim1,en,#btc,1142573516002332677,0.77,0.09,0.58,0.1,0.77,0.77,0.12,0.39,Thu Dec 09 19:30:07 +0000 2021,0.55,71,51,11,6
ZStrankova,en,#btc,1453836427662331904,0.75,0.04,0.67,0.67,0.75,0.75,0.31,0.41,Tue Nov 16 12:48:23 +0000 2021,2.5,11,0,0,0
Ercan49102273,en,#btc,1458174980118753285,0.82,0.23,0.64,0.4,0.82,0.82,0.1,0.33,Thu Nov 25 16:04:59 +0000 2021,29,146,165,1,138
axlwincityx,en,#btc,1441034563472424963,0.72,0.4,0.55,0.33,0.72,0.72,0.02,0.17,Sun Dec 12 08:11:32 +0000 2021,170,5378,1617,29,1370
ik99xx,ar,#btc,1374326442113310724,0.79,0.01,0.79,0.17,0.53,0.79,0.05,0.32,Thu Dec 09 00:27:51 +0000 2021,0.57,21,40,2,11
HyacintheFASSI1,en,#btc,1414288852181729282,0.81,0.12,0.51,0.47,0.81,0.81,0.06,0.16,Sat Dec 11 03:25:23 +0000 2021,10,448,66,9,457
BrisonWooten2,en,#btc,1424303906289594369,0.73,0.08,0.73,0.17,0.73,0.73,0.14,0.44,Mon Nov 22 20:52:19 +0000 2021,7.4,52,42,0,19
AtoriNiz,en,#btc,1442925455921778689,0.84,0.15,0.76,0.49,0.84,0.84,0.15,0.12,Thu Nov 18 23:44:33 +0000 2021,49,2126,69,5,430
SKFILM_,th,#bts,4508221873,0.73,0.1,0.67,0.32,0.73,0.73,0.1,0.02,Sun Dec 05 01:50:33 +0000 2021,270,116026,427,33,197669
seyseesaw,en,#bts,1087146894336409600,0.94,0.14,0.34,0.39,0.94,0.94,0.02,0.03,Sun Dec 05 04:55:00 +0000 2021,37,5337,54,28,112795
Luv_Mxng,en,#bts,860676362809593856,0.88,0.13,0.37,0.46,0.88,0.88,0.03,0.03,Sat Dec 04 22:05:24 +0000 2021,55,12009,30,27,9077
Kuoriwi7,en,#bts,1375947714039537669,0.81,0.59,0.5,0.33,0.81,0.81,0.01,0.06,Sun Dec 05 04:16:07 +0000 2021,1900,60504,4984,1836,55411
hxgcgqgt,und,#bts,1411599876475944963,0.84,0.04,0.84,0.46,0.7,0.84,0.12,0.36,Sun Nov 21 00:15:36 +0000 2021,2.0,22,34,1,896
KatherineHuarc5,en,#bts,1299919572884246528,0.93,0.14,0.64,0.36,0.93,0.93,0.02,0.14,Sun Dec 05 05:28:44 +0000 2021,200,5383,321,7,11601
taren1013,ko,#bts,1184495224736731137,0.85,0.15,0.55,0.32,0.85,0.85,0.0,0.08,Sun Dec 05 06:35:39 +0000 2021,240,17953,201,14,29143
KimAnnybts,pt,#bts,1402375951313420289,0.86,0.12,0.34,0.22,0.86,0.86,0.03,0.09,Sat Dec 04 16:02:52 +0000 2021,260,1551,369,104,1804
Ku92394244,ja,#bts,1391527924398903299,0.93,0.1,0.78,0.33,0.93,0.93,0.17,0.12,Sun Dec 05 04:42:01 +0000 2021,7.0,470,90,1,6712
NIKO60374210,es,#bts,1314772296041672704,0.85,0.01,0.85,0.39,0.81,0.85,0.03,0.24,Thu Dec 02 16:13:15 +0000 2021,1.3,82,130,1,1133
sgrm_1209,en,#bts,1104027025545678848,0.92,0.07,0.32,0.31,0.92,0.92,0.0,0.09,Sun Dec 05 06:04:54 +0000 2021,150,19602,355,72,44957
Yuyu1408_,en,#bts,851900822065643520,0.74,0.22,0.43,0.31,0.74,0.74,0.03,0.06,Sun Dec 05 04:33:28 +0000 2021,880,183187,210,204,192144
atora_rmy,ja,#bts,1200656326260445185,0.86,0.06,0.77,0.38,0.86,0.86,0.13,0.14,Sun Dec 05 07:43:23 +0000 2021,54,3431,158,6,33734
SsSninggggggg,en,#bts,1181048900242690048,0.81,0.03,0.48,0.13,0.81,0.81,0.03,0.1,Sat Dec 04 15:09:42 +0000 2021,65,4071,366,11,4792
JJKXECO,ja,#bts,3649306459,0.96,0.14,0.42,0.32,0.96,0.96,0.05,0.06,Sun Dec 05 08:05:50 +0000 2021,56,302,25,8,13322
mickablenv7,en,#bts,1417830223580631041,0.78,0.22,0.31,0.1,0.78,0.78,0.05,0.11,Sun Dec 05 03:26:02 +0000 2021,500,3856,246,86,5125
hopeval97230059,en,#bts,1313793573620535297,0.79,0.09,0.4,0.41,0.79,0.79,0.0,0.14,Tue Nov 16 15:58:15 +0000 2021,46,1139,69,30,730
17Hoody,en,#bts,1455101807051476993,0.83,0.07,0.35,0.53,0.83,0.83,0.02,0.04,Sun Dec 05 07:07:50 +0000 2021,290,793,66,10,1994
francis_maite,ko,#bts,1400205007773962241,0.73,0.11,0.67,0.41,0.73,0.73,0.22,0.06,Sun Dec 05 07:14:13 +0000 2021,20,373,13,0,690
poisonapple613,en,#bts,1287987009215172610,0.82,0.04,0.23,0.25,0.82,0.82,0.03,0.05,Sun Dec 05 05:18:11 +0000 2021,90,9033,143,84,10223
1cXmC2gd7t9fTTo,en,#bts,1177694917658910721,0.83,0.15,0.48,0.31,0.83,0.83,0.04,0.03,Sun Dec 05 07:05:26 +0000 2021,1200,114909,119,63,178303
seokjin_knee,en,#bts,1079906892598497280,0.74,0.26,0.55,0.43,0.74,0.74,0.07,0.04,Sun Dec 05 09:22:08 +0000 2021,1100,42692,310,100,72752
satyumihyo,en,#bts,1360580802917011460,0.85,0.13,0.55,0.57,0.85,0.85,0.02,0.03,Sun Dec 05 05:10:37 +0000 2021,88,6249,135,4,11242
jorgefe15057570,en,#bts,1071643912580681728,0.8,0.09,0.72,0.4,0.8,0.8,0.05,0.15,Sun Dec 05 01:28:33 +0000 2021,81,1602,921,16,3313
bubujoon,en,#bts,1207875603602591745,0.74,0.21,0.25,0.2,0.74,0.74,0.01,0.04,Sun Dec 05 02:15:11 +0000 2021,23,9429,1104,1028,39612
perso7na_,en,#bts,1314952297303113728,0.78,0.2,0.51,0.45,0.78,0.78,0.04,0.0,Sun Dec 05 08:40:34 +0000 2021,200,2947,122,9,26951
rydlmera,en,#bts,965760313344770051,0.71,0.07,0.26,0.17,0.71,0.71,0.0,0.1,Sun Dec 05 04:55:06 +0000 2021,66,1985,150,102,4958
Temin_Ca,es,#bts,1391946186668523521,0.71,0.12,0.35,0.09,0.71,0.71,0.03,0.16,Fri Nov 26 17:07:33 +0000 2021,7.0,379,10,10,111
chananya97,th,#bts,931000123731017729,0.79,0.05,0.68,0.35,0.79,0.79,0.09,0.13,Sun Dec 05 05:19:57 +0000 2021,230,60778,225,20,5230
TranNguyen28,en,#bts,2953290784,0.83,0.17,0.3,0.32,0.83,0.83,0.0,0.05,Sat Dec 04 17:29:39 +0000 2021,21,12326,1427,236,18509
KatherineHuarc5,en,#bts,1299919572884246528,0.93,0.14,0.64,0.36,0.93,0.93,0.02,0.14,Sun Dec 05 05:28:44 +0000 2021,200,5383,321,7,11601
AltamiraLizeth,ko,#bts,892505284148682752,0.85,0.08,0.57,0.28,0.85,0.85,0.16,0.07,Sun Dec 05 08:39:23 +0000 2021,120,7062,805,114,12695
ApricotGu,en,#bts,1170304620196876288,0.79,0.21,0.62,0.41,0.79,0.79,0.08,0.08,Sun Dec 05 09:27:13 +0000 2021,1500,81748,1091,57,333641
matthew___11,ja,#bts,1312399617271631873,0.74,0.03,0.36,0.3,0.74,0.74,0.03,0.1,Sun Dec 05 01:07:56 +0000 2021,150,1704,73,14,8048
keun4061,en,#bts,929542783387426816,0.81,0.11,0.67,0.39,0.81,0.81,0.02,0.15,Wed Dec 01 19:59:13 +0000 2021,18,348,35,1,582
cotten_901,ko,#bts,1223266476536152066,0.75,0.17,0.15,0.27,0.75,0.75,0.01,0.06,Sun Dec 05 08:26:07 +0000 2021,330,7569,27,28,7304
Juli72806723,en,#bts,1348548468537577477,0.74,0.15,0.65,0.47,0.74,0.74,0.03,0.05,Sun Dec 05 08:16:13 +0000 2021,670,6105,39,1,6368
bangthoney,en,#bts,1037650253997113344,0.89,0.2,0.41,0.27,0.89,0.89,0.07,0.05,Sun Dec 05 07:25:43 +0000 2021,790,110115,562,714,108111
IssuesKim,en,#bts,1421615016629964801,0.74,0.22,0.22,0.12,0.74,0.74,0.0,0.06,Sun Dec 05 10:09:48 +0000 2021,490,6822,114,24,31682
bangtanie7__,en,#bts,1168300958012641281,0.94,0.1,0.42,0.37,0.94,0.94,0.01,0.08,Sat Dec 04 19:33:57 +0000 2021,220,5180,233,67,44309
0506Leilani,es,#bts,1396959476377432072,0.72,0.16,0.71,0.39,0.72,0.72,0.1,0.01,Sun Dec 05 07:26:29 +0000 2021,220,2566,83,2,4357
Just_smile_okey,en,#bts,1229103579102949377,0.85,0.14,0.36,0.43,0.85,0.85,0.01,0.03,Sun Dec 05 08:17:29 +0000 2021,100,16676,140,18,89923
lis_Aan,en,#bts,1282787878507094016,0.8,0.2,0.66,0.36,0.8,0.8,0.01,0.08,Sun Dec 05 07:31:07 +0000 2021,730,29369,516,37,62475
Bangtan_MyLif3,en,#bts,1244058727558385665,0.85,0.11,0.36,0.39,0.85,0.85,0.0,0.04,Sat Dec 04 12:25:52 +0000 2021,8.9,684,455,62,2158
Camila99072430,en,#bts,1127055348181929984,0.8,0.22,0.39,0.39,0.8,0.8,0.03,0.09,Sun Dec 05 04:49:22 +0000 2021,930,70490,148,36,136671
stillwithj3k4,en,#bts,1364443900144873473,0.85,0.06,0.49,0.52,0.85,0.85,0.06,0.06,Sat Dec 04 09:33:26 +0000 2021,36,478,14,1,11033
speachgirl3ad,en,#bts,1441403932559876103,0.85,0.36,0.59,0.3,0.85,0.85,0.01,0.16,Sun Dec 05 10:18:30 +0000 2021,1100,11528,2241,318,22088
sevgi_exo_baek,en,#bts,927938286261284864,0.89,0.17,0.41,0.29,0.89,0.89,0.01,0.1,Sun Dec 05 08:50:34 +0000 2021,1500,724610,228,119,581196
oy7H09DfNFOFOiA,ja,#bts,1381553778478882817,0.96,0.1,0.62,0.31,0.96,0.96,0.19,0.12,Sun Dec 05 10:16:23 +0000 2021,51,365,23,2,1040
jamimi17,en,#bts,1139732072023482368,0.86,0.1,0.6,0.48,0.86,0.86,0.01,0.1,Thu Dec 02 00:58:15 +0000 2021,6.9,621,38,0,2549
jgs1013_7w7,en,#bts,1386779808269586438,0.86,0.36,0.46,0.3,0.86,0.86,0.02,0.07,Wed Dec 01 20:03:36 +0000 2021,23,3486,4941,696,5828
skp2gdrck,ja,#bts,1138913395,0.82,0.04,0.52,0.29,0.82,0.82,0.04,0.1,Sun Dec 05 06:21:53 +0000 2021,81,4026,289,28,6606
PWFYoDxIujKdBSh,ja,#bts,1358014895887843328,0.72,0.04,0.4,0.24,0.72,0.72,0.08,0.19,Tue Nov 30 11:57:23 +0000 2021,74,509,58,26,1484
taevtaehyungv,th,#bts,1428676308960116744,0.72,0.11,0.22,0.11,0.72,0.72,0.07,0.18,Sun Nov 14 13:20:04 +0000 2021,54,538,44,12,712
BTS_jmluv4,ko,#bts,1313822278195408896,0.8,0.08,0.44,0.46,0.8,0.8,0.48,0.09,Sun Dec 05 10:09:11 +0000 2021,53,1771,8,5,2178
yyyrp1,ja,#bts,1302417045510791171,0.74,0.07,0.74,0.11,0.52,0.74,0.09,0.28,Sat Nov 27 15:02:51 +0000 2021,1.5,100,38,0,795
Ring_2505,th,#bts,1219915402462912515,0.79,0.02,0.59,0.23,0.79,0.79,0.0,0.07,Sun Dec 05 04:55:59 +0000 2021,100,3292,174,13,21745
AwaliyahMurni,en,#bts,1404034548208340995,0.89,0.22,0.49,0.45,0.89,0.89,0.02,0.08,Sun Dec 05 01:17:46 +0000 2021,45,795,123,6,1166
armybangtanvote,en,#bts,1391197070028021761,0.92,0.04,0.87,0.06,0.92,0.92,0.74,0.43,Sun Dec 05 01:50:27 +0000 2021,2.3,69,30,0,0
CataaTome,en,#bts,1070435940122927107,0.72,0.18,0.22,0.3,0.72,0.72,0.0,0.05,Sun Dec 05 01:25:45 +0000 2021,130,46772,972,269,72049
Leop3107,en,#bts,1428476194320633857,0.94,0.14,0.51,0.49,0.94,0.94,0.02,0.07,Sun Dec 05 11:04:31 +0000 2021,700,9629,167,9,17227
happy64032102,en,#bts,943105499842490368,0.87,0.16,0.49,0.41,0.87,0.87,0.08,0.12,Sun Dec 05 11:26:20 +0000 2021,13000,286727,291,216,333678
BTSISUNIQUE,en,#bts,1121312164655005696,0.87,0.33,0.33,0.38,0.87,0.87,0.01,0.07,Sat Dec 04 22:29:17 +0000 2021,750,72716,1439,269,81702
jjkdoubunny,en,#bts,1079090931532472320,0.74,0.41,0.22,0.13,0.74,0.74,0.0,0.0,Sun Dec 05 02:43:37 +0000 2021,200,96929,2086,2315,116058
AtRaMeY12,ko,#bts,1459015614773800971,0.72,0.15,0.55,0.18,0.72,0.72,0.34,0.38,Sun Dec 05 02:36:15 +0000 2021,9.4,29,7,0,59
mygparxdise,ko,#bts,1264068913459060738,0.75,0.07,0.37,0.11,0.75,0.75,0.23,0.19,Fri Dec 03 16:56:04 +0000 2021,10,6779,67,73,13543
potato9_sweet,en,#bts,803177712949035008,0.84,0.16,0.44,0.29,0.84,0.84,0.01,0.03,Sun Dec 05 11:20:28 +0000 2021,500,234458,613,104,51370
tarisu174,ja,#bts,1091802642,0.98,0.07,0.98,0.61,0.84,0.98,0.59,0.55,Sat Nov 13 22:24:10 +0000 2021,0.082,2,11,0,1
Jessic53603136,und,#bts,1364344769099354114,0.865,0.0,0.8,0.12,0.865,0.865,0.65,0.78,Thu Nov 25 23:28:44 +0000 2021,1.1,21,98,1,17
purpleland_2,en,#bts,1437011095202500621,0.86,0.07,0.49,0.33,0.86,0.86,0.02,0.05,Sun Dec 05 09:38:16 +0000 2021,380,3522,89,75,65
myuniversebts77,en,#bts,1328014099872182272,0.9,0.09,0.59,0.46,0.9,0.9,0.02,0.09,Sat Dec 04 23:06:25 +0000 2021,74,3263,47,2,7123
SAVEME_1MF1NE,en,#bts,929956997201408000,0.74,0.5,0.56,0.18,0.74,0.74,0.0,0.02,Sun Dec 05 07:29:56 +0000 2021,1100,73655,1960,1741,167181
atinykingmaker,en,#bts,1189961589660803075,0.85,0.1,0.62,0.52,0.85,0.85,0.02,0.07,Sat Dec 04 15:17:45 +0000 2021,68,3392,387,26,1579
kj922769,en,#bts,838210929619787776,0.78,0.29,0.6,0.31,0.78,0.78,0.07,0.05,Sun Dec 05 13:23:41 +0000 2021,4300,121900,5012,401,31606
MarlenValdes9,es,#bts,1305999087154728960,0.87,0.08,0.69,0.32,0.87,0.87,0.13,0.0,Sun Dec 05 05:18:29 +0000 2021,250,1986,83,8,2113
memikpoper,es,#bts,1220134406557442049,0.72,0.13,0.54,0.25,0.72,0.72,0.11,0.02,Sun Dec 05 13:40:58 +0000 2021,470,19942,706,98,33631
ARMYForce_votos,es,#bts,1390930033124970502,0.71,0.15,0.21,0.0,0.71,0.71,0.36,0.2,Sun Dec 05 05:01:40 +0000 2021,510,17319,12,15058,25
_777_bts,ja,#bts,1458021619008688128,0.79,0.12,0.79,0.33,0.76,0.79,0.52,0.33,Fri Nov 26 14:51:48 +0000 2021,3.8,14,5,0,0
reretw7,ko,#bts,1253865904439349248,0.75,0.13,0.67,0.31,0.75,0.75,0.0,0.1,Sun Dec 05 13:27:36 +0000 2021,220,3123,315,5,4035
JAnne51459582,en,#bts,1381247116329152516,0.82,0.1,0.56,0.43,0.82,0.82,0.08,0.04,Sun Dec 05 11:46:02 +0000 2021,68,2479,95,4,6559
barbzz_nikki,en,#bts,492687679,0.72,0.03,0.72,0.21,0.52,0.72,0.04,0.72,Wed Dec 01 04:54:30 +0000 2021,0.092,29,61,1,638
KimyJungJH,ko,#bts,1436314115878891523,0.74,0.16,0.54,0.34,0.74,0.74,0.07,0.14,Thu Dec 02 00:48:30 +0000 2021,16,163,45,43,172
purpleuKMJP,en,#bts,971444790977089541,0.76,0.43,0.65,0.36,0.76,0.76,0.07,0.05,Sat Dec 04 19:38:37 +0000 2021,70,69373,3575,3399,123598
G9La4,ja,#bts,4793310942,0.86,0.13,0.83,0.42,0.86,0.86,0.13,0.21,Sun Dec 05 07:21:06 +0000 2021,0.69,223,250,2,5584
naga4444m,ja,#bts,1444572573451186176,0.86,0.02,0.77,0.4,0.86,0.86,0.05,0.15,Wed Dec 01 22:09:19 +0000 2021,13,52,50,0,3419
pjmxvote01,en,#bts,1074707188894056448,0.75,0.08,0.43,0.25,0.75,0.75,0.01,0.19,Sun Dec 05 02:37:47 +0000 2021,6.6,3144,34,29,219
changwook46,en,#bts,925700240803471361,0.8,0.18,0.4,0.27,0.8,0.8,0.03,0.05,Sun Dec 05 13:55:57 +0000 2021,850,104095,129,149,210247
katy_quispe7,en,#bts,832655611800276992,0.81,0.14,0.19,0.26,0.81,0.81,0.0,0.01,Sun Dec 05 13:07:56 +0000 2021,100,30741,100,57,28681
niallcIub,pt,#bts,3377608606,0.73,0.41,0.73,0.08,0.67,0.73,0.2,0.09,Sun Dec 05 14:21:53 +0000 2021,2400,160510,16782,18172,96371
aramaraa_,en,#bts,1456902513160978440,0.87,0.11,0.67,0.48,0.87,0.87,0.12,0.17,Sun Dec 05 08:24:02 +0000 2021,330,1143,11,0,1007
gabriel97078482,pt,#bts,1451330462153072640,0.71,0.16,0.35,0.03,0.71,0.71,0.06,0.22,Sun Dec 05 13:36:07 +0000 2021,350,3091,355,31,16767
Issa_1230,en,#bts,165780320,0.89,0.04,0.59,0.37,0.89,0.89,0.06,0.17,Thu Dec 02 14:25:46 +0000 2021,46,418,59,5,207
anasecilia9,es,#bts,1377571134888153093,0.8883333333333334,0.07,0.81,0.86,0.8883333333333334,0.8883333333333334,0.67,0.44,Sat Nov 13 22:25:39 +0000 2021,0.073,2,9,0,902
kikahi1,ja,#bts,1192272202990673923,0.83,0.11,0.45,0.3,0.83,0.83,0.1,0.1,Sun Dec 05 00:29:22 +0000 2021,60,1033,82,42,4752
Minshokiee,en,#bts,1407102770470166530,0.74,0.04,0.47,0.46,0.74,0.74,0.06,0.28,Sat Nov 20 20:11:38 +0000 2021,1.3,22,39,6,1653
Park_Wolf352,en,#bts,1079650387987230720,0.86,0.15,0.4,0.43,0.86,0.86,0.01,0.05,Sun Dec 05 12:34:46 +0000 2021,120,26210,43,5,32412
peachyggukmin,en,#bts,1048843981021483008,0.92,0.12,0.3,0.28,0.92,0.92,0.01,0.03,Sun Dec 05 13:27:11 +0000 2021,410,10305,75,132,20169
amandasifuente7,en,#bts,1262139268236967937,0.77,0.15,0.54,0.33,0.77,0.77,0.0,0.05,Sun Dec 05 08:07:15 +0000 2021,420,21845,667,128,111008
Yiyi50522380,es,#bts,1317308265722728449,0.76,0.03,0.76,0.52,0.69,0.76,0.52,0.44,Sat Nov 13 21:20:55 +0000 2021,0.068,4,2,0,3
Krista_Hersant,en,#bts,1216090852919070720,0.83,0.05,0.78,0.6,0.83,0.83,0.06,0.34,Sun Dec 05 09:34:16 +0000 2021,0.44,39,99,1,981
eimn15,ja,#bts,1141991608763613184,0.76,0.01,0.45,0.33,0.76,0.76,0.12,0.05,Sun Dec 05 13:58:44 +0000 2021,180,409,162,34,19116
RKjMwzbUVA5tTew,ja,#bts,1190825130470957057,0.82,0.04,0.63,0.38,0.82,0.82,0.08,0.18,Fri Nov 26 14:09:03 +0000 2021,1.1,118,7,0,1052
MaeGamoza,en,#bts,1302198200862793730,0.8,0.1,0.59,0.39,0.8,0.8,0.03,0.08,Sun Dec 05 12:59:03 +0000 2021,1200,26912,553,86,93598
OcaRafita,en,#bts,1439213752247721988,0.79,0.07,0.56,0.41,0.79,0.79,0.03,0.14,Tue Nov 30 02:19:02 +0000 2021,20,240,54,1,640
Erika_3697,en,#bts,855094963436236801,0.85,0.22,0.35,0.23,0.85,0.85,0.02,0.03,Sun Dec 05 13:52:37 +0000 2021,820,221903,156,233,54012
chi_1698,en,#bts,805002303350505472,0.86,0.11,0.64,0.38,0.86,0.86,0.03,0.08,Sat Dec 04 21:41:11 +0000 2021,490,8546,297,8,36673
mori_min_9597_,en,#bts,3012391237,0.88,0.42,0.57,0.23,0.88,0.88,0.01,0.03,Sun Dec 05 11:17:16 +0000 2021,220,76548,1910,1733,280954
