user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes
AMPR_21,pt,#tbt,1123145577427034113,0.88,0.05,0.88,0.39,0.81,0.88,0.01,0.17,Sat Dec 11 12:47:32 +0000 2021,65,1213,612,34,2846
tonyindios,pt,#tbt,700620691247230976,0.82,0.27,0.65,0.14,0.82,0.82,0.05,0.23,Sat Dec 11 17:57:50 +0000 2021,180,22126,4983,441,32664
Matthewmachin89,en,#tbt,1431991130485370883,0.77,0.29,0.33,0.4,0.77,0.77,0.06,0.09,Sat Dec 11 23:54:24 +0000 2021,1000,9292,29,25,5861
saraeva_t,en,#tbt,264640910,0.79,0.25,0.79,0.46,0.71,0.79,0.07,0.18,Sat Dec 11 01:32:13 +0000 2021,36,1002,2249,218,1048
BrianBanana10,en,#tbt,1308379745713876992,0.84,0.27,0.33,0.23,0.84,0.84,0.04,0.04,Sat Nov 27 17:18:26 +0000 2021,47,33972,886,1286,31978
vdstaff58,en,#tbt,144254673,0.86,0.86,0.28,0.11,0.48,0.86,0.03,0.03,Sun Dec 12 00:23:51 +0000 2021,3500,234893,5776,5681,235754
LFC_MrTumble,en,#tbt,962633966359580672,0.78,0.45,0.64,0.36,0.78,0.78,0.02,0.1,Sat Dec 11 23:09:58 +0000 2021,410,7286,4942,1239,87
JudyConda,en,#tbt,722048277768605696,0.72,0.72,0.19,0.0,0.51,0.72,0.03,0.04,Sun Dec 12 00:34:25 +0000 2021,870,133681,5001,1307,183576
carol_ossf,pt,#tbt,1266045481022562305,0.86,0.17,0.33,0.31,0.86,0.86,0.1,0.09,Sun Dec 12 00:31:00 +0000 2021,1100,1057,124,19,17693
ArKazamG,es,#tbt,1272365888725856257,0.81,0.13,0.81,0.46,0.7,0.81,0.09,0.07,Sat Dec 11 19:58:31 +0000 2021,44,1859,1308,26,3991
SEKO44094454,tr,#tbt,1406949924281925636,0.89,0.1,0.81,0.3,0.89,0.89,0.15,0.23,Sat Dec 11 17:08:07 +0000 2021,85,1415,827,26,3462
kappa37462704,en,#tbt,1153303566465077250,0.84,0.06,0.43,0.33,0.84,0.84,0.08,0.11,Sat Dec 11 22:29:58 +0000 2021,45,2601,441,459,5473
Anderso54974422,pt,#tbt,1089581656133025793,0.87,0.1,0.65,0.37,0.87,0.87,0.22,0.13,Fri Dec 10 09:51:27 +0000 2021,100,10444,960,391,35365
JoseOrt83060132,es,#tbt,1289032904841080833,0.87,0.06,0.63,0.25,0.87,0.87,0.01,0.23,Sat Nov 27 22:47:06 +0000 2021,49,2510,1114,28,4283
tmal28,en,#tbt,1377244341320749059,0.91,0.29,0.64,0.36,0.91,0.91,0.01,0.16,Sat Dec 11 15:07:44 +0000 2021,1000,2903,1168,65,6066
Juan95347711,es,#tbt,906027899639152640,0.92,0.05,0.69,0.34,0.92,0.92,0.18,0.17,Sat Dec 11 14:30:54 +0000 2021,77,15636,937,197,26303
_WanSyafiq,en,#tbt,1018905306,0.8,0.17,0.39,0.26,0.8,0.8,0.02,0.06,Sat Dec 11 17:13:15 +0000 2021,130,107838,147,2379,4285
chema1223,en,#tbt,1942328804,0.71,0.21,0.4,0.36,0.71,0.71,0.06,0.09,Sat Dec 11 23:30:28 +0000 2021,100,16372,452,245,35955
CodisGroup,en,#tbt,983454283055022080,0.87,0.01,0.37,0.05,0.87,0.87,0.8,0.41,Thu Dec 09 21:56:25 +0000 2021,4.3,420,31,12,6
jeancm03,es,#tbt,1967795137,0.75,0.15,0.64,0.08,0.75,0.75,0.02,0.27,Thu Dec 09 23:27:01 +0000 2021,48,5976,2908,120,10877
johnste83319293,en,#tbt,982642942899867648,0.91,0.13,0.38,0.27,0.91,0.91,0.02,0.04,Sat Dec 11 22:19:17 +0000 2021,140,4771,69,42,17815
Thomas66880610,en,#tbt,1075470457187512320,0.84,0.15,0.3,0.36,0.84,0.84,0.05,0.08,Fri Dec 10 19:34:41 +0000 2021,9.5,939,74,44,1527
colombopana6,es,#tbt,1144663678651895808,0.87,0.14,0.87,0.32,0.83,0.87,0.11,0.2,Fri Dec 10 06:19:33 +0000 2021,58,2955,3349,91,3754
asianmoans,en,#tbt,1286598322736599040,0.77,0.28,0.43,0.32,0.77,0.77,0.12,0.19,Sat Dec 11 20:57:12 +0000 2021,4600,508359,40,392869,2066
chelsiwonda,en,#tbt,414806837,0.83,0.41,0.46,0.34,0.83,0.83,0.01,0.0,Sat Dec 11 17:09:52 +0000 2021,190,21127,1466,846,45500
ThelmaBartlet14,en,#tbt,1454861618572140548,0.81,0.29,0.54,0.44,0.81,0.81,0.02,0.12,Sat Dec 11 22:28:54 +0000 2021,1700,12713,201,133,23860
windychicago123,en,#tbt,1264280222532341761,0.94,0.27,0.6,0.27,0.94,0.94,0.1,0.07,Sat Dec 11 06:40:30 +0000 2021,320,15243,1197,126,16948
atlxpomx,en,#tbt,1422584353159323649,0.76,0.07,0.76,0.42,0.72,0.76,0.05,0.12,Thu Dec 09 12:23:16 +0000 2021,20,512,223,3,907
BBiitchhh,und,#tbt,1105688148464459777,0.97,0.1,0.78,0.29,0.97,0.97,0.14,0.11,Sat Dec 11 20:47:35 +0000 2021,140,8134,999,197,862
sweet_tradebot,en,#btc,1429276388872257543,0.86,0.02,0.86,0.18,0.6,0.86,0.52,0.73,Fri Nov 19 20:42:08 +0000 2021,7.4,119,160,16,40
HAMT20606605,en,#btc,1456639442589044744,0.88,0.12,0.56,0.48,0.88,0.88,0.41,0.36,Thu Nov 25 12:08:11 +0000 2021,65,594,9,7,635
crosscoinco,en,#btc,1035198618418831361,0.9,0.08,0.6,0.4,0.84,0.9,0.9,0.38,Sun Dec 12 04:29:30 +0000 2021,42,4799,1,90,0
baybarsozan,tr,#btc,840641968984227840,0.78,0.0,0.48,0.09,0.78,0.78,0.44,0.3,Sun Oct 10 00:37:24 +0000 2021,0.16,42,271,171,1734
serrayshe1,tr,#btc,1311601526297722880,0.77,0.33,0.41,0.02,0.77,0.77,0.03,0.14,Sun Dec 12 02:16:45 +0000 2021,2900,9524,1165,156,16295
OMAR45394288,en,#btc,1173665065553334272,0.88,0.21,0.88,0.48,0.79,0.88,0.07,0.24,Sat Dec 11 22:10:09 +0000 2021,50,248,377,3,55
SerhatA47201106,en,#btc,1458564799558737925,0.74,0.07,0.74,0.22,0.72,0.74,0.6,0.38,Sat Dec 11 19:49:30 +0000 2021,99,737,52,4,353
1000FreundeS04,de,#btc,1373271122595213312,1.0,0.06,1.0,0.39,0.86,1.0,0.66,0.66,Sun Dec 05 22:16:00 +0000 2021,0.21,8,19,0,40
al4le,en,#btc,1242771475901317120,0.79,0.14,0.59,0.31,0.79,0.79,0.05,0.23,Wed Dec 08 14:39:59 +0000 2021,46,512,28,6,653
EvansMmabeauty,en,#btc,1207796038137978880,0.77,0.14,0.77,0.27,0.56,0.77,0.09,0.36,Sat Dec 11 16:43:06 +0000 2021,3.4,248,379,26,166
DuranKaraca2,und,#btc,990306604166807555,0.78,0.05,0.78,0.03,0.64,0.78,0.16,0.41,Mon Dec 06 21:13:04 +0000 2021,2.6,81,164,8,42
Trend_Surfers,en,#btc,1216902990617026565,0.8,0.08,0.43,0.04,0.8,0.8,0.78,0.19,Sun Dec 12 04:05:15 +0000 2021,70,2754,68,2905,429
GOlvhanda,en,#btc,1459839193694105606,0.77,0.03,0.77,0.26,0.62,0.77,0.5,0.74,Fri Nov 26 15:17:32 +0000 2021,3.0,13,19,6,6
SerhatA47201106,en,#btc,1458564799558737925,0.74,0.07,0.74,0.22,0.72,0.74,0.6,0.38,Sat Dec 11 19:49:30 +0000 2021,98,737,52,4,353
InuQueenB,en,#btc,1402978368904065024,0.71,0.15,0.58,0.02,0.71,0.71,0.08,0.2,Sat Dec 11 23:56:49 +0000 2021,280,11251,553,203,5779
jayepe4321,en,#btc,1459850036548939776,0.74,0.05,0.74,0.1,0.72,0.74,0.27,0.6,Tue Dec 07 12:17:13 +0000 2021,4.3,17,87,12,7
blokblok07,tr,#btc,1450808302456168452,0.73,0.26,0.47,0.12,0.73,0.73,0.03,0.25,Fri Dec 10 18:46:11 +0000 2021,41,1371,54,12,1189
Jasmincityx,en,#btc,1432393270081069056,0.72,0.33,0.72,0.32,0.63,0.72,0.03,0.16,Sat Dec 11 22:02:22 +0000 2021,150,1541,1282,53,281
CryptoNazia2,en,#btc,1387799090843373575,0.73,0.48,0.56,0.14,0.73,0.73,0.06,0.22,Sat Dec 11 21:07:17 +0000 2021,700,20546,4962,143,13680
RqkVCBaKlXW6h4q,en,#btc,1013469851883573248,0.73,0.6,0.67,0.16,0.73,0.73,0.07,0.07,Sat Dec 11 09:24:55 +0000 2021,75,1116,3383,2471,527
RVqmW9iboHnkNje,ja,#btc,999267708981014528,0.96,0.04,0.57,0.07,0.96,0.96,0.89,0.5,Sun Dec 12 07:31:21 +0000 2021,370,26618,900,428,906
DS76382657,ja,#btc,1393703364320395264,0.8,0.16,0.41,0.13,0.8,0.8,0.05,0.18,Sun Dec 12 00:27:05 +0000 2021,20,215,49,12,195
atemiwe,en,#btc,958054455680884737,0.82,0.02,0.82,0.05,0.4,0.82,0.25,0.27,Sun Nov 14 22:53:48 +0000 2021,0.53,39,75,3,86
Sergij90,en,#btc,1593095024,0.71,0.1,0.38,0.35,0.71,0.71,0.03,0.06,Fri Dec 10 13:20:15 +0000 2021,9.6,756,42,22,839
Airdrop_mania34,tr,#btc,1440375701396332545,0.71,0.2,0.39,0.07,0.71,0.71,0.06,0.23,Sat Dec 11 21:58:46 +0000 2021,310,2139,214,33,3174
J3pDuMC8aqA0mZa,en,#btc,979060880200622081,0.86,0.01,0.86,0.09,0.54,0.86,0.02,0.57,Thu Nov 25 00:32:20 +0000 2021,1.9,551,384,8,20
bryedelvo,en,#btc,1455775798703521794,0.71,0.02,0.71,0.07,0.39,0.71,0.06,0.22,Tue Dec 07 04:46:55 +0000 2021,14,77,93,8,65
MohsenViolonist,en,#btc,1435608690111963139,0.75,0.09,0.75,0.21,0.44,0.75,0.07,0.33,Sat Dec 11 19:38:11 +0000 2021,12,167,109,2,95
cryptowatchera,en,#btc,895095827433115648,0.91,0.04,0.91,0.65,0.64,0.91,0.15,0.54,Mon Nov 22 10:58:50 +0000 2021,0.067,16,157,4,77
DoanHoaTun,en,#btc,1458553462359166978,0.82,0.07,0.82,0.27,0.59,0.82,0.13,0.44,Sat Dec 11 18:12:20 +0000 2021,8.0,36,28,2,16
386_jj,ja,#btc,1126365766389919744,0.87,0.11,0.52,0.29,0.87,0.87,0.14,0.14,Sat Dec 11 16:12:28 +0000 2021,23,526,35,43,496
Criptoke1,es,#btc,1442603951963000834,0.73,0.09,0.73,0.1,0.54,0.73,0.02,0.39,Wed Dec 08 16:13:46 +0000 2021,3.8,40,317,19,278
DanDaveand,en,#btc,1423021570143014923,0.85,0.52,0.84,0.32,0.85,0.85,0.1,0.16,Sun Dec 12 01:14:11 +0000 2021,570,7779,2233,47,1442
Sphincex,en,#btc,1111257809470087171,0.71,0.12,0.71,0.11,0.5,0.71,0.06,0.35,Mon Nov 22 09:00:31 +0000 2021,36,604,602,38,435
Rodolfo62949483,es,#btc,1187891439897894912,0.76,0.76,0.34,0.0,0.44,0.76,0.0,0.0,Sun Dec 12 02:30:48 +0000 2021,860,56833,4182,4470,86306
ufukcelebi44,tr,#btc,2675186425,0.75,0.04,0.75,0.13,0.56,0.75,0.14,0.51,Sun Nov 14 21:44:22 +0000 2021,0.076,29,24,4,7
artofkaizen,en,#btc,268901120,0.76,0.29,0.36,0.34,0.76,0.76,0.03,0.0,Sun Dec 12 07:09:32 +0000 2021,170,6317,341,103,15769
Idarosida1995,en,#btc,778093320044158977,0.72,0.28,0.63,0.31,0.72,0.72,0.04,0.21,Sun Dec 12 01:00:49 +0000 2021,160,1654,735,11,450
Purple1067,fr,#btc,1429515937389088773,0.79,0.02,0.79,0.08,0.73,0.79,0.03,0.28,Sun Dec 12 20:12:25 +0000 2021,3.1,49,42,2,12
vechaincat,en,#btc,1192493648430206976,0.76,0.37,0.52,0.37,0.76,0.76,0.03,0.01,Mon Dec 13 03:46:45 +0000 2021,130,26362,1441,1531,48429
rambo7769,en,#btc,1330051109638070274,0.78,0.02,0.62,0.13,0.71,0.78,0.78,0.63,Mon Dec 13 05:39:15 +0000 2021,230,11228,90,41,584
irrelevantbirm1,tr,#btc,1384779016461295616,0.92,0.06,0.92,0.11,0.72,0.92,0.46,0.45,Sat Nov 20 13:02:58 +0000 2021,0.74,26,35,2,16
GGAllin48462630,es,#btc,1240397221419520001,0.9,0.02,0.9,0.628,0.73,0.9,0.85,0.49,Wed Dec 08 13:32:23 +0000 2021,2.2,40,7,9,49
jdhforme,en,#btc,1291576610454269958,0.78,0.31,0.56,0.25,0.78,0.78,0.02,0.14,Mon Dec 06 06:19:00 +0000 2021,44,7438,983,71,1917
